Codigo  Fac.Atenc.  Fac.Res.  Pac.Atend.  Pac.Res.
================================================================================
728983      6.0179    8.6075          13        19
409939      8.7009   12.5730          18        20
188770      9.7855    8.4457          18        17
139491      6.4999    9.2626          15        19
438575      8.4551    5.4628          15        12
717574      5.9197    6.4124          13        10
732265      6.0691    9.0034          13        16
181543      6.4313    6.5896          14        12
213914      5.4390   11.1008          10        22
931580      6.5796    5.3011          13        11
576585      9.7194   11.3707          17        25
605124      4.4072    7.7858           8        15
295593      6.9371    9.0458          12        17
438561      6.0369    7.1354          13        16
407737     10.3146    6.2921          17        16
714431      9.0806    7.4051          17        17
748326      7.4950    4.9441          17         8
994792      4.8285    8.0489           8        16
373026      6.5983    8.2857          10        15
759852      5.3618    3.9795          13        11
595914      8.9059    6.0888          16        10
189599      5.2216    7.1679           9        16
503822      6.6876    6.5314          16        14
366990      7.3783   12.0709          15        21
658616      5.2872    6.9013          13        13
374313      5.6169    8.8832          14        14
634819      8.4544    8.3937          16        15
693050      6.4667    6.8786          13        13
863001      7.2972    6.7998          12        15
666498      5.0714    8.9609          10        14
